Full Name,ID Number,Manager ID,Gender,Birthday,Role,Full time/Part time/Contract,Country,Department,Grade,Current Salary,Current Bonus,Pension,Email Address,NI or Tax number,Other Unique Identifier,Ethnicity,FTE,Start Date,Leave Date,Current Employee,Area,How recruited,Relocation costs,Recruitment cost,Reason for leaving,Cost of termination,Ccy,Healthcare costs,Other benefits,Expenses,Share based payments,Performance Ranking,Engagement index,Absence Days,Absence Type,Bradford Index,Training Cost,Training Day,Successor,Total payroll cost,Total benefits,Payroll taxes,Total annual compensation,Monthly cost Including payroll taxes,Age,Tenure Years,Years to retirement,Sales targets,Span of Control,Absence detail,Team Engagement,Customer Satisfaction,Team Performance,Personal Performance,Role Start Date,Prior period performance ranking,Absence Instances
Isobel Whitehead,301,126,female,25/12/1987,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,34221,0,684,Isobel.Whitehead@realco.com,EJ998529A,,,1,03/05/2008,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,5.7,7.14,5,,5,,,,34221,1434,4757,40412,4118,22.15,4.46,42.85,node.links.from.budget,0,,NaN,,,,10/01/2011,7.125,1
Jessica Lane,551,126,female,16/12/1984,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,64621,7311,1939,Jessica.Lane@realco.com,HD601707E,,,1,05/08/2012,,Y,Manchester,Agency,,9450,,,GBP,2500,0,9000,0,0.3,5.94,0,,-,,,,71932,4439,9999,86369,7947,61.07,0.2,3.93,node.links.from.budget,0,,NaN,,,,05/08/2012,2,0
Carlos Silver,651,126,male,23/01/1986,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,54752,4634,1095,Carlos.Silver@realco.com,JI164064I,,,1,21/12/2009,,Y,Manchester,Internal,,0,,,GBP,1500,0,10427.99,0,4,6.15,9,,441,,,,59386,2595,8255,70236,6722,48.21,2.83,16.79,node.links.from.budget,0,,NaN,,,,10/01/2011,5,7
Joshua Baez,676,126,male,03/01/1951,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,50024,4171,1000,Joshua.Baez@realco.com,DB251042G,,,1,24/09/2008,,Y,Manchester,Advert,,500,,,GBP,1500,0,9000,0,6,6.13,10,Sickness,360,,,,54195,2500,7533,64229,6102,40.11,4.07,24.89,node.links.from.budget,0,Flu,NaN,,,,10/01/2011,7.5,6
Yasmin Sullivan,776,126,female,29/06/1989,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,26921,0,538,Yasmin.Sullivan@realco.com,IA4720F,,,1,08/04/2008,,Y,Manchester,Internal,,0,,,GBP,750,0,9000,0,5.2,5.7,7,,28,,,Yes,26921,1288,3742,31952,3413,26.35,4.53,38.65,node.links.from.budget,4,,7.1975,5.8,3,,10/01/2011,3.9,2
Leo Smart,151,776,male,05/07/1985,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,51565,4209,1031,Leo.Smart@realco.com,CF140849A,,,1,31/05/2009,,Y,Manchester,Advert,,500,,,GBP,2000,0,9000,0,5.6,6.86,4,,16,,,,55774,3031,7753,66558,6296,55.55,3.39,9.45,node.links.from.budget,0,,NaN,,,,21/08/2012,7,2
Sarah Warner,351,776,female,12/09/1955,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,25760,0,515,Sarah.Warner@realco.com,EG528411A,,,1,05/08/2009,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,9,7.8,0,,-,,,,25760,1265,3581,30606,3300,20.24,3.21,44.76,node.links.from.budget,0,,NaN,,,,11/06/2012,9,0
Kelli Flynn,626,776,female,30/10/1983,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,46015,3503,920,Kelli.Flynn@realco.com,HH512438J,,,1,27/05/2009,,Y,Manchester,Internal,,0,,,GBP,1500,0,9000,0,7.5,6.7,0,,-,,,,49518,2420,6883,58821,5652,44.15,3.4,20.86,node.links.from.budget,0,,NaN,,,,23/09/2011,9.375,0
Edward Preston,751,776,male,22/09/1986,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,52061,4510,1041,Edward.Preston@realco.com,BC734939H,,,1,02/08/2009,,Y,Manchester,Agency,,8100,,,GBP,1000,0,9000,0,6.2,7.43,5,Sickness,20,,,,56572,2041,7863,66476,6290,37.76,3.21,27.24,node.links.from.budget,0,Upper limb,NaN,,,,16/08/2011,4.65,2
Vicki Huard,801,126,female,30/04/1988,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,52505,4584,1050,Vicki.Huard@realco.com,BB950936B,,,1,25/04/2009,,Y,Manchester,Internal,0,0,,,GBP,1500,0,9000,0,7.7,6.74,0,,-,,,No,57089,2550,7935,67574,6381,40.16,3.48,24.84,node.links.from.budget,4,,6.2825,6.3,1,,25/07/2011,7.7,0
Jennifer Wheeler,201,801,female,12/12/1953,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,51255,4376,1025,Jennifer.Wheeler@realco.com,IA830641J,,,1,02/02/2008,24/02/2008,N,Manchester,Internal,,0,Failed Probation,,GBP,1500,0,11950.26,0,5.1,6.1,5,,45,,,,55631,2525,7733,65889,6487,44.3,0.06,20.71,node.links.from.budget,0,,NaN,,,,18/12/2012,5.1,3
Leslie Miller,326,801,female,28/12/1963,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,30645,0,613,Leslie.Miller@realco.com,GE155521J,,,1,08/11/2007,,Y,Manchester,Agency,,6900,,,GBP,750,0,9000,0,5.1,5.58,5,Sickness,20,,,,30645,1363,4260,36267,3772,26.82,4.95,38.18,node.links.from.budget,0,Asthma,NaN,,,,10/01/2011,6.375,2
John Rivera,576,801,male,12/09/1962,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,50953,4325,1019,John.Rivera@realco.com,CA235190B,,,1,05/12/2006,,Y,Manchester,Advert,,500,,,GBP,1000,0,9000,0,8.8,7.56,0,,-,,,,55278,2019,7684,64981,6165,36.99,5.87,28.01,node.links.from.budget,0,,NaN,,,,10/01/2011,7.92,0
Finlay Hamilton,726,801,male,17/11/1984,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,66444,8222,1993,Finlay.Hamilton@realco.com,HE623201E,,,1,09/06/2007,,Y,Manchester,Agency,,7950,,,GBP,2500,0,9000,0,6,5.89,6,,54,,,,74666,4493,10379,89537,8211,60.6,5.36,4.41,node.links.from.budget,0,,NaN,,,,10/01/2011,6,3
Jodie Morris,826,126,female,11/01/1951,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,63455,6727,1904,Jodie.Morris@realco.com,AE639437B,,,1,24/12/2009,,Y,Manchester,Agency,,10350,,,GBP,2500,0,9000,0,4.7,6.61,8,,200,,,No,70182,4404,9755,84341,7778,60.3,2.82,4.7,node.links.from.budget,3,,6.61,7.1,6,,10/01/2011,3.631,5
Spencer Mills,251,826,male,21/03/1989,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,26003,0,520,Spencer.Mills@realco.com,GA599086H,,,1,11/12/2006,,Y,Manchester,Internal,,0,,,GBP,750,0,9000,0,4.4,6.89,7,,63,,,,26003,1270,3614,30888,3324,26.53,5.86,38.47,node.links.from.budget,0,,NaN,,,,10/01/2011,4.4,3
Gerald Glenn,376,826,male,08/05/1984,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,47854,3809,957,Gerald.Glenn@realco.com,BJ803906E,,,1,30/09/2011,,Y,Manchester,Agency,,6150,,,GBP,1000,0,9643.49,0,5,6.4,11,,396,,,,51663,1957,7181,60801,5870,39.29,1.05,25.71,node.links.from.budget,0,,NaN,,,,30/09/2011,5,6
Declan Dunn,451,826,male,24/04/1986,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,52462,4577,1049,Declan.Dunn@realco.com,BC933485G,,,1,16/06/2010,,Y,Manchester,Advert,,500,,,GBP,1500,0,11990.07,0,6.5,6.54,8,Sickness,128,,,,57039,2549,7928,67517,6626,43.49,2.34,21.51,node.links.from.budget,0,Upper limb,NaN,,,,19/06/2012,8.125,4
Henry Davison,851,126,male,22/07/1988,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,52882,4647,1058,Henry.Davison@realco.com,FB420484G,,,1,04/03/2008,,Y,Manchester,Internal,,0,,,GBP,1500,0,9000,0,5.8,7.4,0,Sickness,-,,,Yes,57529,2558,7997,68083,6424,44,4.63,21.01,node.links.from.budget,3,Back pain,6.256666667,5.8,0,,23/10/2012,7.25,0
Aimee Powell,176,851,female,27/03/1960,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,28068,0,561,Aimee.Powell@realco.com,FG643786B,,,1,08/08/2010,,Y,Manchester,Agency,,5250,,,GBP,750,0,9000,0,6.3,5.82,0,,-,,,,28068,1311,3902,33281,3523,28.17,2.2,36.83,node.links.from.budget,0,,NaN,,,,25/06/2012,6.3,0
Harrison Gibbs,276,851,male,04/02/1989,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,32600,0,652,Harrison.Gibbs@realco.com,BC313221E,,,1,28/06/2010,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,6.5,6.58,0,,-,,,,32600,1402,4531,38533,3961,26.6,2.31,38.4,node.links.from.budget,0,,NaN,,,,01/12/2012,6.5,0
Bethany Wong,401,851,female,18/07/1954,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,62105,6052,1863,Bethany.Wong@realco.com,HD548361I,,,1,23/08/2010,,Y,Manchester,Advert,,500,,,GBP,2500,0,9261.78,0,4.5,6.37,5,,20,,,,68157,4363,9474,81994,7605,63.04,2.16,1.96,node.links.from.budget,0,,NaN,,,,03/08/2011,4.95,2
Mindy Marshall,876,126,female,28/11/1961,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,52737,4365,1055,Mindy.Marshall@realco.com,CC810201G,,,1,19/03/2010,,Y,Manchester,Advert,,500,,,GBP,1500,0,9000,0,1,5.02,10,Sickness,360,,,,57102,2555,7937,67594,6383,49.94,2.59,15.06,node.links.from.budget,0,Upper limb,NaN,,,,11/08/2012,2,6
Margaret Caouette,901,126,female,19/01/1954,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,25104,0,502,Margaret.Caouette@realco.com,CF257416E,,,1,09/10/2008,,Y,Manchester,Agency,,10350,,,GBP,750,0,9000,0,7,6.62,6,,54,,,No,25104,1252,3489,29846,3237,20.3,4.03,44.71,node.links.from.budget,3,,6.916666667,7.5,0,,10/01/2011,7,3
Matthew Pope,476,901,male,07/12/1984,Delivery Grade 3,Full time,UK,Ops Programme Delivery,3,53907,4521,1078,Matthew.Pope@realco.com,GG244578J,,,1,08/09/2012,,Y,Manchester,Agency,,9600,,,GBP,1500,0,11725.39,0,5.6,6.38,6,,54,,,,58428,2578,8122,69128,6738,41.71,0.11,23.29,node.links.from.budget,0,,NaN,,,,08/09/2012,7,3
Richard Ortiz,501,901,male,25/07/1988,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,27325,0,546,Richard.Ortiz@realco.com,AB728687A,,,1,24/04/2007,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,8.2,7.5,6,Sickness,96,,,,27325,1296,3798,32419,3452,26.61,5.49,38.39,node.links.from.budget,0,Asthma,NaN,,,,09/04/2011,6.15,4
Jonathan Mader,701,901,male,16/12/1951,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,33180,0,664,Jonathan.Mader@realco.com,GF372568D,,,1,15/12/2008,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,6.5,6.87,6,,54,,,,33180,1414,4612,39205,4017,22.79,3.84,42.21,node.links.from.budget,0,,NaN,,,,10/01/2011,6.5,3
Ella French,926,126,female,20/03/1962,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,28638,0,573,Ella.French@realco.com,CH747123G,,,1,11/06/2012,,Y,Manchester,Internal,0,0,,,GBP,1000,0,10205.63,0,8.6,7.21,0,,-,,,,28638,1573,3981,34191,3700,33.81,0.35,31.19,node.links.from.budget,0,,NaN,,,,11/06/2012,6.45,0
Guy Ellsworth,951,126,male,12/08/1952,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,61190,5492,1224,Guy.Ellsworth@realco.com,II552104G,,,1,04/08/2008,,Y,Manchester,Agency,,9150,,,GBP,2000,0,9000,0,1.4,5.62,10,,250,,,No,66682,3224,9269,79174,7348,59.13,4.21,5.87,node.links.from.budget,2,,5.595,4.4,1,,10/01/2011,2,5
Tom Davidson,526,951,male,11/01/1985,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,35000,0,700,Tom.Davidson@realco.com,FG448741D,,,1,14/07/2012,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,1.3,5.52,7,,63,,,,35000,1450,4865,41314,4193,27.9,0.26,37.1,node.links.from.budget,0,,NaN,,,,14/07/2012,2,3
David Maynard,601,951,male,22/05/1985,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,30503,0,610,David.Maynard@realco.com,CF329900E,,,1,07/07/2007,,Y,Manchester,Agency,,8850,,,GBP,750,0,10715.08,0,0.6,5.67,11,,396,,,,30503,1360,4240,36102,3901,24.11,5.29,40.89,node.links.from.budget,0,,NaN,,,,14/04/2011,2,6
Ewan Wheeler,976,126,male,22/10/1985,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,61871,5583,1237,Ewan.Wheeler@realco.com,DE107681I,,,1,30/04/2010,,Y,Manchester,Agency,,10050,,,GBP,2000,0,9000,0,0,5.34,7,,28,,,No,67454,3237,9376,80067,7422,55.16,2.47,9.85,node.links.from.budget,2,,6.315,4.5,2,,10/01/2011,2,2
Florence Way,226,976,female,24/10/1952,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,52237,4298,1045,Florence.Way@realco.com,EA671503B,,,1,28/08/2010,,Y,Manchester,Agency,,7950,,,GBP,2000,0,9000,0,6.8,6.91,0,,-,,,,56536,3045,7858,67439,6370,51.62,2.14,13.38,node.links.from.budget,0,,NaN,,,,21/05/2012,6.8,0
Joe Franklin,426,976,male,01/04/1989,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,30073,0,601,Joe.Franklin@realco.com,CG768594G,,,1,24/01/2009,,Y,Manchester,Agency,,9000,,,GBP,1000,0,10006.18,0,6.5,5.72,0,,-,,,,30073,1601,4180,35855,3822,30.63,3.73,34.37,node.links.from.budget,0,,NaN,,,,21/03/2011,6.5,0
Liam Craig,1001,126,male,25/08/1986,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,42401,2900,848,Liam.Craig@realco.com,JG65336J,,,1,11/12/2011,,Y,Manchester,Advert,,500,,,GBP,1000,0,10181.54,0,3.9,6.94,10,,640,,,Yes,45301,1848,6297,53446,5302,37.72,0.85,27.28,node.links.from.budget,4,,6.8925,6.2,2,,11/12/2011,3.9,8
Harrison Townsend,1026,1001,male,15/05/1983,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,60746,5433,1215,Harrison.Townsend@realco.com,FH710375E,,,1,23/08/2012,,Y,Manchester,Agency,,9300,,,GBP,2000,0,9000,0,6.2,6.81,0,,-,,,,66179,3215,9199,78593,7299,51.12,0.15,13.88,node.links.from.budget,0,,NaN,,,,23/08/2012,7.322,0
Jessica Weston,1051,1001,female,27/06/1982,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,66239,8120,1987,Jessica.Weston@realco.com,EA486436D,,,1,01/06/2012,,Y,Manchester,Internal,0,0,,,GBP,2500,0,9638.34,0,6.2,7.08,8,Sickness,128,,,,74359,4487,10336,89182,8235,63.58,0.38,1.42,node.links.from.budget,0,Stress,NaN,,,,01/06/2012,7.75,4
Woodrow Larson,1076,1001,male,22/09/1955,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,65210,7605,1956,Woodrow.Larson@realco.com,FA94778F,,,1,06/08/2007,,Y,Manchester,Internal,0,0,,,GBP,2500,0,9700.83,0,6.3,6.76,6,,24,,,,72815,4456,10121,87392,8091,62.32,5.21,2.68,node.links.from.budget,0,,NaN,,,,10/01/2011,6.93,2
Dominic Joyce,1101,1001,male,19/07/1959,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,27069,0,541,Dominic.Joyce@realco.com,HI11215D,,,1,10/11/2007,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,6.1,6.92,6,,54,,,,27069,1291,3763,32124,3427,28.07,4.94,36.94,node.links.from.budget,0,,NaN,,,,16/06/2011,6.1,3
Peter Dale,1126,126,male,05/07/1953,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,34551,0,691,Peter.Dale@realco.com,DI268703D,,,1,05/10/2011,21/10/2012,N,Manchester,Agency,,10500,Career Development,,GBP,750,0,9000,0,5.5,6.3,9,,324,,,,34551,1441,4803,40794,4150,26.5,1.05,38.5,node.links.from.budget,0,,NaN,,,,24/12/2011,4.125,6
Ryan Page,135,108,male,13/06/1981,Project Manager,Full time,UK,Ops Programme Delivery,5,58304,1652,2915,Ryan.Page@realco.com,BI967784D,,,1,13/08/2008,,Y,Manchester,Internal,0,0,,,GBP,2500,500,18000,0,0.3,5.55,10,,160,,,Yes,59956,5915,8334,74205,7684,64.7,4.18,0.3,node.links.from.budget,9,,6.88,4,0,,10/01/2011,2,4
Michael Clinton,260,135,male,15/07/1956,Delivery Grade 1,Contract,UK,Ops Programme Delivery,2,34407,0,688,Michael.Clinton@realco.com,EB731748D,,,1,01/10/2006,,Y,Manchester,Agency,,6600,,,GBP,750,0,9000,0,5.6,6.98,3,,3,,,,34407,1438,4783,40628,4136,21.94,6.05,43.06,node.links.from.budget,0,,NaN,,,,10/01/2011,5.04,1
John Hood,385,135,male,17/11/1950,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,63962,6981,1919,John.Hood@realco.com,HE388066H,,,1,28/11/2008,,Y,Manchester,Internal,,0,,,GBP,2500,0,9000,0,9.6,7.68,7,,175,,,,70944,4419,9861,85224,7852,64.52,3.89,0.48,node.links.from.budget,0,,NaN,,,,10/01/2011,10,5
Jordan Banks,460,135,male,22/12/1951,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,32625,0,652,Jordan.Banks@realco.com,DB818027C,,,1,19/12/2011,,Y,Manchester,Internal,0,0,,,GBP,750,0,10977.1,0,6.5,6.49,6,,24,,,,32625,1402,4535,38562,4128,27.87,0.83,37.13,node.links.from.budget,0,,NaN,,,,19/12/2011,4.971,2
Kieran Newman,735,135,male,09/09/1985,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,28113,0,562,Kieran.Newman@realco.com,CH16141G,,,1,06/05/2011,,Y,Manchester,Agency,,9150,,,GBP,1000,0,9000,0,4.9,6.98,11,,891,,,,28113,1562,3908,33583,3549,30.41,1.45,34.59,node.links.from.budget,0,,NaN,,,,06/05/2011,4.9,9
Gabriel Perkins,785,135,male,19/09/1986,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,60099,5347,1202,Gabriel.Perkins@realco.com,GH601004J,,,1,19/10/2008,,Y,Manchester,Advert,,500,,,GBP,2000,0,9000,0,4.8,7.21,9,,441,,,,65446,3202,9097,77745,7229,53.24,4,11.76,node.links.from.budget,6,,6.326666667,,,,13/01/2012,3.6,7
Louella Varela,185,785,female,29/11/1961,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,42082,2847,842,Louella.Varela@realco.com,EH663756B,,,1,07/03/2009,,Y,Manchester,Internal,0,0,,,GBP,1500,0,9000,0,4.7,6.46,10,,250,,,,44929,2342,6245,53515,5210,43.49,3.62,21.51,node.links.from.budget,0,,NaN,,,,10/01/2011,5.875,5
Laura Nixon,285,785,female,30/04/1986,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,62947,5726,1259,Laura.Nixon@realco.com,CF464340E,,,1,30/11/2006,,Y,Manchester,Internal,0,0,,,GBP,2000,0,11848.59,0,3,5.86,8,,200,,,,68673,3259,9546,81478,7777,56.3,5.89,8.7,node.links.from.budget,0,,NaN,,,,29/06/2011,2.25,5
Jody Goulet,360,785,female,25/04/1988,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,41718,2786,834,Jody.Goulet@realco.com,EH518622G,,,1,12/09/2009,,Y,Manchester,Agency,,8100,,,GBP,1500,0,11093.96,0,5.1,5.74,8,,200,,,,44504,2334,6186,53025,5343,44.39,3.1,20.62,node.links.from.budget,0,,NaN,,,,10/01/2011,3.825,5
Katie Sharp,485,785,female,03/09/1951,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,59160,5221,1183,Katie.Sharp@realco.com,FH940978H,,,1,22/03/2010,,Y,Manchester,Internal,,0,,,GBP,1500,0,9000,0,5.1,6.58,8,,200,,,,64381,2683,8949,76013,7084,49.96,2.58,15.05,node.links.from.budget,0,,NaN,,,,10/01/2011,3.825,5
Leah Simmons,610,785,female,20/04/1957,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,63624,6812,1909,Leah.Simmons@realco.com,GC828305F,,,1,21/02/2007,,Y,Manchester,Internal,,0,,,GBP,2500,0,9000,0,6.5,7.38,0,,-,,,,70436,4409,9791,84635,7803,62,5.66,3,node.links.from.budget,0,,NaN,,,,10/01/2011,4.875,0
Joyce Foster,760,785,female,28/01/1960,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,54954,4992,1099,Joyce.Foster@realco.com,HH245146E,,,1,16/12/2008,,Y,Manchester,Advert,,500,,,GBP,1500,0,9000,0,7.5,5.94,4,Sickness,16,,,,59946,2599,8332,70877,6656,43.91,3.84,21.09,node.links.from.budget,0,Back pain,NaN,,,,22/11/2012,5.625,2
Yolanda Olson,810,135,female,06/02/1955,Delivery Grade 3,Contract,UK,Ops Programme Delivery,4,55810,4775,1116,Yolanda.Olson@realco.com,AA207362A,,,1,02/11/2010,,Y,Manchester,Advert,,500,,,GBP,1500,0,9000,0,5.8,6.17,8,,128,,,No,60584,2616,8421,71622,6718,46.81,1.96,18.19,node.links.from.budget,6,,6.625,5.9,2,,29/11/2012,7.25,4
Leonel Williams,160,810,male,13/06/1960,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,30635,0,613,Leonel.Williams@realco.com,CH687181F,,,1,16/09/2010,,Y,Manchester,Agency,,4050,,,GBP,750,0,9000,0,7.5,7.13,7,,175,,,,30635,1363,4258,36256,3771,28.38,2.09,36.62,node.links.from.budget,0,,NaN,,,,10/01/2011,9.375,5
Jacob Horton,210,810,male,22/06/1984,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,46495,3582,930,Jacob.Horton@realco.com,FB347893A,,,1,13/11/2006,,Y,Manchester,Advert,,500,,,GBP,1000,0,9000,0,6.1,7.19,5,Sickness,20,,,,50077,1930,6961,58968,5664,38.11,5.93,26.89,node.links.from.budget,0,Other,NaN,,,,10/01/2011,7.625,2
Grady Allen,310,810,male,17/12/1959,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,62826,5710,1257,Grady.Allen@realco.com,AH451764H,,,1,15/01/2009,,Y,Manchester,Advert,,500,,,GBP,2000,0,10768.66,0,3.7,6.63,9,,324,,,,68537,3257,9527,81320,7674,51.8,3.76,13.2,node.links.from.budget,0,,NaN,,,,10/01/2011,4.07,6
Liam Walters,410,810,male,31/08/1959,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,25664,0,513,Liam.Walters@realco.com,AB974511A,,,1,14/08/2011,,Y,Manchester,Advert,,500,,,GBP,750,0,9000,0,5.2,6.21,6,,54,,,,25664,1263,3567,30495,3291,28.3,1.18,36.7,node.links.from.budget,0,,NaN,,,,14/08/2011,5.2,3
Zachary Begum,535,810,male,17/05/1982,Delivery Grade 4,Full time,UK,Ops Programme Delivery,4,64732,7366,1942,Zachary.Begum@realco.com,FH132976C,,,1,23/02/2010,,Y,Manchester,Internal,,0,,,GBP,2000,0,9000,0,10,6.29,0,,-,,,,72097,3942,10022,86061,7922,56.27,2.65,8.73,node.links.from.budget,0,,NaN,,,,15/12/2012,10,0
Matthew Woodward,560,810,male,03/07/1984,Delivery Grade 4,Full time,UK,Ops Programme Delivery,5,60845,5422,1825,Matthew.Woodward@realco.com,DJ583903B,,,1,16/12/2010,,Y,Manchester,Advert,,500,,,GBP,2500,0,9000,0,8.5,6.3,8,,200,,,,66267,4325,9211,79804,7400,61.99,1.84,3.01,node.links.from.budget,0,,NaN,,,,14/07/2012,6.375,5
Zachary Howe,835,135,male,24/03/1988,Delivery Grade 1,Full time,UK,Ops Programme Delivery,2,34446,0,689,Zachary.Howe@realco.com,CA62725B,,,1,02/11/2011,,Y,Manchester,Agency,,10350,,,GBP,750,0,9000,0,5.6,6.58,9,,324,,,No,34446,1439,4788,40673,4139,21.18,0.96,43.83,node.links.from.budget,6,,5.975,5.7,1,,02/11/2011,5.6,6
Alexandra Hewitt,235,835,female,24/04/1954,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,53126,4688,1063,Alexandra.Hewitt@realco.com,EA778830G,,,1,28/10/2008,,Y,Manchester,Agency,,7350,,,GBP,1000,0,9000,0,6.7,6.11,5,,20,,,,57814,2063,8036,67912,6409,36.1,3.98,28.91,node.links.from.budget,0,,NaN,,,,10/01/2011,6.03,2
Kenneth Pullins,335,835,male,23/10/1985,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,41340,2723,827,Kenneth.Pullins@realco.com,AG17903B,,,1,29/04/2007,,Y,Manchester,Advert,,500,,,GBP,1500,0,9000,0,7.7,6.59,4,,4,,,,44064,2327,6125,52515,5126,40.65,5.48,24.35,node.links.from.budget,0,,NaN,,,,16/04/2012,9.625,1
William Reed,435,835,male,17/06/1985,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,54264,4568,1085,William.Reed@realco.com,DB248085C,,,1,26/10/2007,,Y,Manchester,Agency,,7650,,,GBP,2000,0,9000,0,1.4,5.35,9,,225,,,,58832,3085,8178,70095,6591,51.9,4.98,13.1,node.links.from.budget,0,,NaN,,,,10/01/2011,2,5
Billy Nelson,510,835,male,26/02/1960,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,50449,4241,1009,Billy.Nelson@realco.com,BD169747H,,,1,09/05/2009,,Y,Manchester,Agency,,9150,,,GBP,1000,0,9000,0,3.5,6.06,8,,200,,,,54690,2009,7602,64301,6108,39.59,3.45,25.42,node.links.from.budget,0,,NaN,,,,10/01/2011,2.625,5
Louis Bradshaw,635,835,male,30/11/1959,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,61773,5570,1235,Louis.Bradshaw@realco.com,IH785198J,,,1,23/03/2012,,Y,Manchester,Advert,,500,,,GBP,2000,0,9000,0,9.9,5.75,4,Sickness,4,,,,67342,3235,9361,79938,7412,59.78,0.57,5.22,node.links.from.budget,0,Stress,NaN,,,,23/03/2012,9.9,1
Minnie Baker,685,835,female,10/01/1959,Delivery Grade 3,Full time,UK,Ops Programme Delivery,4,64240,5899,1285,Minnie.Baker@realco.com,GB614093G,,,1,23/03/2007,,Y,Manchester,Agency,,8700,,,GBP,2000,0,11996.64,0,1.5,5.99,9,Sickness,324,,,,70139,3285,9749,83173,7931,53.61,5.58,11.4,node.links.from.budget,0,Dermatitis,NaN,,,,10/01/2011,2,6
John Desmarais,860,135,male,16/06/1962,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,42707,2951,854,John.Desmarais@realco.com,EH205569H,,,1,02/07/2009,,Y,Manchester,Advert,,500,,,GBP,1000,0,9000,0,6.9,7,0,,-,,,Yes,45658,1854,6346,53859,5238,39.07,3.3,25.93,node.links.from.budget,6,,5.72,5.1,2,,29/02/2012,7.818,0
Demetrius Lipman,585,860,male,14/12/1962,Delivery Grade 2,Full time,UK,Ops Programme Delivery,3,47378,3730,948,Demetrius.Lipman@realco.com,CB13486G,,,1,07/03/2011,,Y,Manchester,Advert,,500,,,GBP,1000,0,9000,0,2.5,5.52,8,Sickness,72,,,,51108,1948,7104,60160,5763,35.27,1.62,29.73,node.links.from.budget,0,Asthma,NaN,,,,07/03/2011,2,3
